time_stamp, total time, scan point size, incremental time, match time, delete size, delete time, tree size st, tree size end, add point size, preprocess time, solve time, imu proc time, fov seg time, downsample time, iekf total time
1773325307.23798347,0.01579350,5946,0.00157299,0.00972354,0,0.00000000,14080,14207,359,0.00090479,0.00227496,0.00118092,0.00000058,0.00034160,0.01217941
1773325307.33798742,0.01872348,5995,0.00253539,0.01008494,0,0.00000000,14207,14204,358,0.00094975,0.00345670,0.00127176,0.00000060,0.00036677,0.01382634
1773325307.43807697,0.01857003,5942,0.00213979,0.00982164,0,0.00000000,14204,14343,420,0.00094840,0.00397058,0.00129068,0.00000048,0.00030809,0.01426629
1773325307.53808856,0.01904569,5894,0.00219694,0.01059552,0,0.00000000,14343,14303,391,0.00097702,0.00246915,0.00175831,0.00000203,0.00086744,0.01354883
1773325307.63807130,0.01886107,5932,0.00139266,0.01062989,0,0.00000000,14303,14404,336,0.00115040,0.00315087,0.00248130,0.00000053,0.00040354,0.01397492
1773325307.73798990,0.02678386,5964,0.00306174,0.01589746,0,0.00000000,14404,14360,302,0.00090993,0.00404068,0.00205713,0.00000083,0.00058611,0.02020306
1773325307.83806229,0.01602967,5932,0.00150272,0.00966690,0,0.00000000,14360,14229,291,0.00082586,0.00250782,0.00130328,0.00000084,0.00033658,0.01234031
1773325307.93805885,0.03398488,5953,0.00346149,0.02073764,0,0.00000000,14229,14143,291,0.00088839,0.00506970,0.00254231,0.00000108,0.00076845,0.02613433
1773325308.03797412,0.03504901,5994,0.00236141,0.02222030,0,0.00000000,14143,14294,311,0.00170034,0.00567925,0.00246880,0.00000108,0.00071576,0.02828550
1773325308.13805103,0.03425013,5929,0.00274099,0.02076126,0,0.00000000,14294,14384,306,0.00158725,0.00540032,0.00285854,0.00000123,0.00072736,0.02662250
1773325308.23799109,0.03637780,5921,0.00222627,0.02303107,0,0.00000000,14384,14496,279,0.00166349,0.00631615,0.00252928,0.00000112,0.00073952,0.02978053
1773325308.33807611,0.01941341,5946,0.00135382,0.01177933,0,0.00000000,14496,14668,270,0.00269549,0.00212619,0.00224245,0.00000276,0.00087078,0.01417111
1773325308.43795180,0.01805344,6009,0.00145836,0.01126243,0,0.00000000,14668,14513,266,0.00180177,0.00261904,0.00153993,0.00000118,0.00032373,0.01411671
1773325308.53808641,0.01502478,5958,0.00088759,0.00957152,0,0.00000000,14513,14649,246,0.00179536,0.00232791,0.00115541,0.00000050,0.00030915,0.01207297
1773325308.63800764,0.03829795,5997,0.00251900,0.02464550,0,0.00000000,14649,14717,280,0.00179152,0.00552616,0.00318189,0.00000125,0.00082161,0.03054942
1773325308.73797941,0.01521499,5979,0.00147080,0.00958694,0,0.00000000,14717,14430,303,0.00096581,0.00185476,0.00127607,0.00000056,0.00034510,0.01163044
1773325308.83804440,0.02659609,5939,0.00155192,0.01681163,0,0.00000000,14430,14583,251,0.00078798,0.00454229,0.00172121,0.00000089,0.00046475,0.02194996
1773325308.93795705,0.03539922,5956,0.00204743,0.02247857,0,0.00000000,14583,14695,253,0.00218481,0.00555920,0.00275113,0.00000129,0.00086030,0.02863387
1773325309.03794384,0.01739690,5950,0.00131704,0.01116438,0,0.00000000,14695,14645,244,0.00260784,0.00265174,0.00110159,0.00000053,0.00030954,0.01409738
1773325309.13786769,0.01931022,5993,0.00109345,0.01216774,0,0.00000000,14645,14799,240,0.00110434,0.00272669,0.00168778,0.00000240,0.00045536,0.01521702
1773325309.23798776,0.01881286,5989,0.00196005,0.01151511,0,0.00000000,14799,14738,275,0.00100316,0.00254965,0.00139012,0.00000206,0.00048347,0.01425673
1773325309.33800387,0.01531306,5926,0.00094824,0.00950292,0,0.00000000,14738,14801,232,0.00153192,0.00240924,0.00134610,0.00000117,0.00039061,0.01209452
1773325309.43803835,0.02557186,6006,0.00178848,0.01561950,0,0.00000000,14801,14969,243,0.00083451,0.00428363,0.00209341,0.00000100,0.00059203,0.02018654
1773325309.53808737,0.01434785,5923,0.00079637,0.00909906,0,0.00000000,14969,15034,201,0.00132551,0.00225499,0.00113892,0.00000063,0.00040517,0.01150214
1773325309.63786435,0.02328559,5971,0.00192635,0.01398770,0,0.00000000,15034,15048,240,0.00090973,0.00405312,0.00164838,0.00000067,0.00045589,0.01831559
1773325309.73789072,0.01890187,5951,0.00148481,0.01134853,0,0.00000000,15048,14985,252,0.00092284,0.00273976,0.00205455,0.00000072,0.00032218,0.01443946
1773325309.83791876,0.01950670,5947,0.00100613,0.01268786,0,0.00000000,14985,15072,224,0.00134883,0.00349114,0.00106461,0.00000053,0.00028860,0.01654018
1773325309.93802333,0.02131148,5962,0.00114829,0.01420111,0,0.00000000,15072,15139,217,0.00087931,0.00305834,0.00154904,0.00000049,0.00044669,0.01747289
1773325310.03804064,0.01817969,5953,0.00099596,0.01232365,0,0.00000000,15139,15249,210,0.00115749,0.00251681,0.00126667,0.00000066,0.00031921,0.01500927
1773325310.13791728,0.01459426,5941,0.00107560,0.00972824,0,0.00000000,15249,15269,188,0.00146955,0.00151577,0.00124845,0.00000056,0.00034952,0.01137961
1773325310.23800707,0.01584990,5986,0.00122347,0.00960820,0,0.00000000,15269,15341,208,0.00080934,0.00251092,0.00124735,0.00000064,0.00035179,0.01231203
1773325310.33809328,0.01797085,5881,0.00197310,0.01023601,0,0.00000000,15341,15242,210,0.00111125,0.00317763,0.00135087,0.00000060,0.00034597,0.01363784
1773325310.43786335,0.04593811,5970,0.00131982,0.03682026,0,0.00000000,15242,15395,208,0.00084912,0.00349296,0.00186670,0.00000071,0.00046366,0.04095553
1773325310.53785682,0.04063291,5941,0.00082791,0.02525847,0,0.00000000,15395,15501,218,0.00091421,0.01064677,0.00253898,0.00000126,0.00036459,0.03622098
1773325310.63788772,0.02356393,5988,0.00098745,0.01463661,0,0.00000000,15501,15579,219,0.00163695,0.00456744,0.00213125,0.00000077,0.00036181,0.01949889
1773325310.73792171,0.02177782,5751,0.00108121,0.01361168,0,0.00000000,15579,15151,175,0.00104406,0.00300888,0.00261087,0.00000149,0.00055792,0.01691825
1773325310.83459163,0.01598676,6261,0.00088505,0.01039637,0,0.00000000,15151,15207,197,0.00087412,0.00230658,0.00127812,0.00000048,0.00035254,0.01288362
1773325310.93794537,0.01897487,5948,0.00123377,0.01049536,0,0.00000000,15207,15325,172,0.00221621,0.00281963,0.00235302,0.00000653,0.00089125,0.01376123
1773325311.03794932,0.01774809,5918,0.00073038,0.01152346,0,0.00000000,15325,15384,171,0.00073285,0.00271144,0.00134121,0.00000092,0.00039101,0.01450974
1773325311.13780189,0.01944180,5986,0.00091661,0.01200311,0,0.00000000,15384,15459,181,0.00187745,0.00294846,0.00154167,0.00000059,0.00046810,0.01524664
1773325311.23783827,0.01807068,5973,0.00168901,0.00979316,0,0.00000000,15459,15522,191,0.00202323,0.00245481,0.00224929,0.00000071,0.00035570,0.01244222
1773325311.33792210,0.01675753,5973,0.00076433,0.01093817,0,0.00000000,15522,15566,162,0.00123852,0.00260613,0.00124448,0.00000056,0.00029437,0.01379784
1773325311.43791246,0.01888658,5974,0.00098759,0.01218308,0,0.00000000,15566,15561,172,0.00109956,0.00229555,0.00219883,0.00000083,0.00037570,0.01464508
1773325311.53787804,0.02271481,5994,0.00116554,0.01504884,0,0.00000000,15561,15513,178,0.00106644,0.00306850,0.00110671,0.00000098,0.00035902,0.01843883
1773325311.63795137,0.02159690,5967,0.00078360,0.01410453,0,0.00000000,15513,15606,176,0.00241797,0.00365992,0.00166546,0.00000090,0.00044395,0.01807787
1773325311.73795414,0.01836148,5974,0.00079012,0.01106957,0,0.00000000,15606,15606,176,0.00124356,0.00302477,0.00215576,0.00000055,0.00047700,0.01431656
1773325311.83799100,0.01784006,5920,0.00070758,0.01019351,0,0.00000000,15606,15602,173,0.00146487,0.00241911,0.00282051,0.00000240,0.00076477,0.01284170
1773325311.93797541,0.02096765,5959,0.00105704,0.01462039,0,0.00000000,15602,15353,159,0.00164563,0.00263363,0.00117842,0.00000063,0.00029510,0.01751549
1773325312.03798461,0.02595755,5950,0.00067591,0.01423922,0,0.00000000,15353,15441,171,0.00108660,0.00637580,0.00157920,0.00000071,0.00036475,0.02234073
1773325312.13795900,0.06199039,5966,0.00070567,0.04630659,0,0.00000000,15441,15535,146,0.00146147,0.00902989,0.00238999,0.00000174,0.00052473,0.05585979
1773325312.23798394,0.05282209,5928,0.00068035,0.04552324,0,0.00000000,15535,15556,153,0.00176169,0.00290580,0.00203169,0.00000119,0.00046144,0.04899183
1773325312.33788037,0.04438587,5955,0.00093979,0.03709694,0,0.00000000,15556,15566,156,0.00140503,0.00286268,0.00165392,0.00000095,0.00052550,0.04023932
1773325312.43782711,0.04024544,5943,0.00064530,0.03189661,0,0.00000000,15566,15627,140,0.00219147,0.00317379,0.00223301,0.00000458,0.00120817,0.03538026
1773325312.53791785,0.04585146,5955,0.00074391,0.03796803,0,0.00000000,15627,15675,138,0.00134002,0.00339003,0.00183932,0.00000358,0.00080044,0.04168541
1773325312.63783765,0.04795447,5995,0.00082111,0.03666959,0,0.00000000,15675,15752,162,0.00121584,0.00263934,0.00189769,0.00000538,0.00087429,0.03966993
