time_stamp, total time, scan point size, incremental time, match time, delete size, delete time, tree size st, tree size end, add point size, preprocess time, solve time, imu proc time, fov seg time, downsample time, iekf total time
1773320503.99187183,0.02858842,6150,0.00209954,0.01696411,0,0.00000000,10393,10444,262,0.00215121,0.00496239,0.00246965,0.00000135,0.00069239,0.02228517
1773320504.09188676,0.03227236,6141,0.00225943,0.01971243,0,0.00000000,10444,10475,263,0.00241126,0.00541520,0.00277118,0.00000148,0.00078175,0.02546637
1773320504.19187593,0.02922011,6179,0.00220824,0.01721747,0,0.00000000,10475,10548,284,0.00220940,0.00468487,0.00266350,0.00000168,0.00074957,0.02221906
1773320504.29206491,0.02906847,6151,0.00178568,0.01772660,0,0.00000000,10548,10694,252,0.00169131,0.00470343,0.00254374,0.00000136,0.00069195,0.02276047
1773320504.39191127,0.03628458,6138,0.00240074,0.02440018,0,0.00000000,10694,10626,228,0.00235491,0.00481741,0.00253832,0.00000143,0.00071806,0.02960663
1773320504.49192452,0.03285299,6149,0.00152698,0.02050744,0,0.00000000,10626,10646,210,0.00172443,0.00630542,0.00242179,0.00000125,0.00070194,0.02728595
1773320504.59264517,0.02824833,6143,0.00178141,0.01720542,0,0.00000000,10646,10747,230,0.00170334,0.00480390,0.00241796,0.00000559,0.00072585,0.02231434
1773320504.69191456,0.03189462,6140,0.00145378,0.01976471,0,0.00000000,10747,10822,200,0.00185543,0.00605311,0.00248084,0.00000162,0.00069834,0.02625750
1773320504.79194188,0.03059045,6110,0.00159296,0.01891567,0,0.00000000,10822,10808,190,0.00191203,0.00509739,0.00275152,0.00000169,0.00078199,0.02436753
1773320504.89185548,0.03104730,6197,0.00168179,0.01922475,0,0.00000000,10808,10914,212,0.00168110,0.00519905,0.00269710,0.00000135,0.00084130,0.02478448
1773320504.99183393,0.03081228,6206,0.00183007,0.01857046,0,0.00000000,10914,10857,222,0.00169193,0.00491244,0.00319470,0.00000204,0.00099089,0.02380591
1773320505.09192491,0.03478370,6200,0.00211461,0.02120234,0,0.00000000,10857,10912,214,0.00247149,0.00535485,0.00328865,0.00000200,0.00085408,0.02706734
1773320505.19201183,0.02870162,6150,0.00159045,0.01733779,0,0.00000000,10912,10886,169,0.00193686,0.00481679,0.00275450,0.00000188,0.00081180,0.02245974
