time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1773322282.16497970,0.02279008,6272,0.00147216,0.00000000,0,0.00000000,10251,10276,147,0.00102056
1773322282.26503229,0.01546353,6258,0.00064465,0.00000000,0,0.00000000,10276,10332,181,0.00176800
1773322282.36481237,0.01710598,6243,0.00073531,0.00000000,0,0.00000000,10332,10391,172,0.00083770
1773322282.46466255,0.01450631,6306,0.00138907,0.00000000,0,0.00000000,10391,10435,185,0.00146539
1773322282.56553912,0.01349095,6270,0.00068302,0.00000000,0,0.00000000,10435,10493,171,0.00182255
1773322282.66604733,0.01355541,6272,0.00075734,0.00000000,0,0.00000000,10493,10561,149,0.00154655
1773322282.76526523,0.01492154,6272,0.00065730,0.00000000,0,0.00000000,10561,10588,144,0.00192495
1773322282.86505032,0.01472085,6240,0.00068612,0.00000000,0,0.00000000,10588,10654,160,0.00077526
1773322282.96483612,0.02299310,6270,0.00106113,0.00000000,0,0.00000000,10654,10676,130,0.00084284
1773322283.06466913,0.02000289,6253,0.00126864,0.00000000,0,0.00000000,10676,10645,143,0.00081789
1773322283.16448402,0.01148303,6275,0.00049661,0.00000000,0,0.00000000,10645,10669,124,0.00105362
1773322283.26455855,0.02461257,6326,0.00198140,0.00000000,0,0.00000000,10669,10683,133,0.00086968
1773322283.36563969,0.02561340,6263,0.00092392,0.00000000,0,0.00000000,10683,10685,142,0.00122933
1773322283.46556687,0.02472198,6206,0.00125930,0.00000000,0,0.00000000,10685,10723,123,0.00159386
1773322283.56383967,0.01551891,6283,0.00070572,0.00000000,0,0.00000000,10723,10770,158,0.00081851
1773322283.66456389,0.02648110,6298,0.00081199,0.00000000,0,0.00000000,10770,10812,100,0.00121319
1773322283.76505065,0.01420752,6278,0.00044495,0.00000000,0,0.00000000,10812,10890,120,0.00244438
1773322283.86502647,0.02804363,6255,0.00078409,0.00000000,0,0.00000000,10890,10927,115,0.00110531
1773322283.96479607,0.01151824,6260,0.00060672,0.00000000,0,0.00000000,10927,10962,111,0.00149955
1773322284.06461930,0.02735475,6242,0.00076488,0.00000000,0,0.00000000,10962,10940,118,0.00214186
1773322284.16445732,0.01311351,6282,0.00049592,0.00000000,0,0.00000000,10940,11001,118,0.00121817
1773322284.26447749,0.02974562,6302,0.00119122,0.00000000,0,0.00000000,11001,10930,114,0.00311774
1773322284.36481452,0.01774663,6287,0.00061698,0.00000000,0,0.00000000,10930,10977,126,0.00095762
1773322284.46575165,0.01849720,6272,0.00053184,0.00000000,0,0.00000000,10977,11026,116,0.00343585
1773322284.56547642,0.01605884,6245,0.00101144,0.00000000,0,0.00000000,11026,11081,112,0.00121839
1773322284.66443539,0.02225346,6304,0.00142036,0.00000000,0,0.00000000,11081,11090,109,0.00206277
1773322284.76540947,0.01221188,6264,0.00056282,0.00000000,0,0.00000000,11090,11101,100,0.00119034
1773322284.86510110,0.01590687,6297,0.00170291,0.00000000,0,0.00000000,11101,11047,115,0.00186162
1773322284.96510839,0.01571823,6220,0.00058348,0.00000000,0,0.00000000,11047,11060,95,0.00232409
1773322285.06474161,0.01147040,6279,0.00081456,0.00000000,0,0.00000000,11060,11080,125,0.00305868
1773322285.16478610,0.04559350,6281,0.00239838,0.00000000,0,0.00000000,11080,11132,117,0.00203605
1773322285.26455426,0.01221050,6240,0.00039564,0.00000000,0,0.00000000,11132,11172,118,0.00127622
1773322285.36445141,0.02858564,6272,0.00079665,0.00000000,0,0.00000000,11172,11240,112,0.00166068
1773322285.46448684,0.03074725,6296,0.00140534,0.00000000,0,0.00000000,11240,11274,108,0.00161039
1773322285.56505156,0.02583009,6290,0.00090187,0.00000000,0,0.00000000,11274,11213,70,0.00117171
1773322285.66570067,0.02843055,6253,0.00144655,0.00000000,0,0.00000000,11213,11188,111,0.00080184
1773322285.76570249,0.03063971,6265,0.00070803,0.00000000,0,0.00000000,11188,11135,95,0.00148146
1773322285.86539316,0.01845313,6254,0.00037790,0.00000000,0,0.00000000,11135,11128,89,0.00214958
1773322285.96538472,0.01439607,6226,0.00041490,0.00000000,0,0.00000000,11128,11170,90,0.00175434
1773322286.06519413,0.01580289,6263,0.00042075,0.00000000,0,0.00000000,11170,11229,93,0.00184769
1773322286.16513038,0.01372712,6253,0.00058018,0.00000000,0,0.00000000,11229,11182,97,0.00385680
1773322286.26511335,0.01201645,6264,0.00043192,0.00000000,0,0.00000000,11182,11187,88,0.00150513
1773322286.36486697,0.01160759,6240,0.00045643,0.00000000,0,0.00000000,11187,11169,104,0.00126042
